Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7877927608232789,0.5921375921375921,0.6443850267379679,0.617157490396927,0.834369268128859
Random Forest,0.7665010645848119,0.5587467362924282,0.5721925133689839,0.5653896961690885,0.8187501614611589
XGBoost,0.7686302342086586,0.5591133004926109,0.606951871657754,0.5820512820512821,0.8122516727376063
